scenario_id,cat,desc,unit,value
cv_001,fertility,11-52-0 map,kg / stand,448.34051979563145
cv_001,field ops,chisel,pass/stand life,1
cv_001,field ops,disk,pass/stand life,2
cv_001,field ops,disk border ridges,pass/stand life,1
cv_001,field ops,fertilize map,pass/stand life,2
cv_001,field ops,insect control,pass/stand life,6
cv_001,field ops,laser level,pass/stand life,1
cv_001,field ops,plant,pass/stand life,1
cv_001,field ops,roll,pass/stand life,3
cv_001,field ops,stand termination,pass/stand life,1
cv_001,field ops,weed control,pass/stand life,10
cv_001,harvest ops,"haylage, cut",pass / stand life,6
cv_001,harvest ops,"haylage, chop",pass / stand life,6
cv_001,harvest ops,"hay, swath",pass / stand life,21
cv_001,harvest ops,"hay, rake",pass / stand life,21
cv_001,harvest ops,"hay, bale",pass / stand life,21
cv_001,harvest ops,"hay, stack",pass / stand life,21
cv_001,irrigation,"sprinker, est",l / stand,822321.22503168
cv_001,irrigation,"flood irrigation, gravity",l / stand,9867854.70038016
cv_001,irrigation,"flood irrigation, ground",l / stand,9867854.70038016
cv_001,pesticide,flumioxazin,kg / stand,0.3630502550368909
cv_001,pesticide,chlorantraniliprole,kg / stand,0.15354787137922649
cv_001,pesticide,paraquat,kg / stand,1.7413826001687198
cv_001,pesticide,pendimethalin,kg / stand,12.777704814175497
cv_001,pesticide,glyphosate,kg / stand,6.590605640995783
cv_001,pesticide,lambda-cyhalothrin,kg / stand,0.08196225127513888
cv_001,seed,"round-up ready seed, non-dormant",kg / stand,28.02128248722697
cv_001,yield,hay production,kg / stand,60525.97017241025
cv_001,yield,haylage production,kg / stand,14122.726373562387
